pos_in_ihya,pos_in_qut,sentence_ihya,sentence_qut,score,overlap_chars
page:1,page:1,وسئل بعضهم هل تذكر في الصلاة شيئاً فقال وهل شيء أحب إلي من الصلاة فأذكره فيها وكان أبو الدرداء رضي الله عنه يقول من فقه الرجل أن يبدأ بحاجته قبل دخوله في الصلاة ليدخل في الصلاة وقلبه فارغ,وكان أبو الدرداء يقول:من فقه الرجل أن يبدأ بحاجته قبل دخوله في الصلاة ليدخل في الصلاة وقلبه فارغ,100,96
page:1,page:1,وقال بعض العارفين لو عرضت علي الشهادة عند باب الدار والموت على التوحيد,وقال بعض العارفين:لو عرضت عليّ الشهادة عند باب الدار والموت على التوحيد,100,70
page:1,page:1,فإني رأيت الحب في القلب والأذى,فإني رأيت الحب في القلب والأذى,100,30
page:1,page:1,لأني أرى المقبور ينتظر النشرا,لأني أرى المقبور ينتظر النشرا,100,29
page:1,page:1,إذا اجتمعا لم يلبث الحب يذهب,إذا اجتمعا لم يلبث الحب يذهب,100,28
page:1,page:1,لا يستوون كما لا يستوي الشجر,لا يستوون كما لا يستوي الشجر,100,28
page:1,page:1,بما كان منه لم أحط ساعة خبرا,بما كان منه لم أحط ساعة خبرا,100,28
page:1,page:1,ما الفخر إلا لأهل العلم إنهم,ما الفخر إلا لأهل العلم إنهم,100,28
page:1,page:1,ويكفيك سوءات الأمور اجتنابها,ويكفيك سوءات الأمور اجتنابها,100,28
page:1,page:1,كل الأمور إلى المليك العادل,كل الأمور إلى المليك العادل,100,27
page:1,page:1,ولا تنطقي في سورتي حين أغضب,ولا تنطقي في سورتي حين أغضب,100,27
page:1,page:1,وما السر في صدري كثاو بقبره,وما السرّ في صدري كثاوٍ بقبره,100,27
page:1,page:1,ولو جاز كتم السر بيني وبينه,ولو جاز كتم السرّ بيني وبينه,100,27
page:1,page:1,والناس في غفلة عما يراد بهم,والناس في غفلة عما يراد بهم,100,27
page:1,page:1,فلا الحمد في ذا ولا ذاك لي,فلا الحمد في ذا ولا ذاك لي,100,26
page:1,page:1,والقلب فيه من الحبيب بلابل,والقلب فيه من الحبيب بلابل,100,26
page:1,page:1,ومن الدلائل أن تراه مسافراً,ومن الدلائل أن تراه مسافراً,100,26
page:1,page:1,ومن الدلائل ضحكه بين الورى,ومن الدلائل ضحكه بين الورى,100,26
page:1,page:1,يخفي القبيح ويظهر الإحسانا,يخفي القبيح ويظهر الإحسانا,100,26
page:1,page:1,يخفي الجميل ويظهر البهتانا,يخفي الجميل ويظهر البهتانا,100,26
page:1,page:1,على الهدى لمن استهدى أدلاء,على الهدى لمن استهدى أدلاّء,100,26
page:1,page:1,والجاهلون لأهل العلم أعداء,والجاهلون لأهل العلم أعداء,100,26
page:1,page:1,ولديه من تحف الحبيب وسائل,ولديه من تحف الحبيب وسائل,100,25
page:1,page:1,طوع الحبيب وإن ألح العاذل,طوع الحبيب وإنّ ألحّ العاذل,100,25
page:1,page:1,ومن الدلائل أن يرى متبسماً,ومن الدلائل أن يرى متبسّماً,100,25
page:1,page:1,ومن الدلائل أن يرى متفهماً,ومن الدلائل أن يرى متفهّماً,100,25
page:1,page:1,لكلام من يحظى لديه السائل,لكلام من يحظى لديه السائل,100,25
page:1,page:1,ومن الدلائل أن يرى متقشفاً,ومن الدلائل أن يرى متقشفاً,100,25
page:1,page:1,ومن الدلائل أن تراه مشمراً,ومن الدلائل أن تراه مشمراً,100,25
page:1,page:1,في خرقتين على شطوط الساحل,في خرقتين على شطوط الساحل,100,25
page:1,page:1,جوف الظلام فما له من عاذل,جوف الظلام فما له من عاذل,100,25
page:1,page:1,ومن الدلائل زهده فيما يرى,ومن الدلائل زهده فيما يرى,100,25
page:1,page:1,ومن الدلائل أن تراه باكياً,ومن الدلائل أن تراه باكياً,100,25
page:1,page:1,ومن الدلائل أن تراه راضياً,ومن الدلائل أن تراه راضياً,100,25
page:1,page:1,الأنس بالله لا يحويه بطال,الأنس بالله لا يحويه بطال,100,25
page:1,page:1,ولا تنقريني نقرك الدف مرة,ولا تنقريني نقرك الدفّ مرة,100,25
page:1,page:1,وَجَدْتُ مُصِيبَاتِ الزَّمَانِ جَمِيعَهَا,وجدت مصيبات الزمان جميعها,100,25
